IP:PORT, LOSS, DELAY
188.114.99.204:7152,100.00%,1000 ms
188.114.99.25:7152,100.00%,1000 ms
162.159.195.92:4198,100.00%,1000 ms
162.159.192.20:7152,100.00%,1000 ms
162.159.193.113:7152,100.00%,1000 ms
188.114.99.136:4198,100.00%,1000 ms
162.159.195.64:7152,100.00%,1000 ms
188.114.98.114:7152,100.00%,1000 ms
162.159.204.154:7152,100.00%,1000 ms
188.114.98.56:4198,100.00%,1000 ms
188.114.97.252:7152,100.00%,1000 ms
188.114.97.207:4198,100.00%,1000 ms
162.159.195.104:7152,100.00%,1000 ms
162.159.192.112:4198,100.00%,1000 ms
162.159.204.194:4198,100.00%,1000 ms
162.159.195.59:4198,100.00%,1000 ms
188.114.96.148:4198,100.00%,1000 ms
188.114.97.99:4198,100.00%,1000 ms
188.114.98.134:4198,100.00%,1000 ms
188.114.97.166:7152,100.00%,1000 ms
188.114.97.232:7152,100.00%,1000 ms
188.114.99.3:7152,100.00%,1000 ms
162.159.192.148:4198,100.00%,1000 ms
162.159.195.139:4198,100.00%,1000 ms
162.159.204.194:7152,100.00%,1000 ms
188.114.99.110:4198,100.00%,1000 ms
188.114.98.94:7152,100.00%,1000 ms
188.114.99.25:4198,100.00%,1000 ms
162.159.193.114:4198,100.00%,1000 ms
162.159.195.139:7152,100.00%,1000 ms
162.159.195.117:4198,100.00%,1000 ms
188.114.97.166:4198,100.00%,1000 ms
162.159.204.255:4198,100.00%,1000 ms
162.159.193.196:4198,100.00%,1000 ms
162.159.204.174:4198,100.00%,1000 ms
188.114.96.172:7152,100.00%,1000 ms
162.159.195.73:7152,100.00%,1000 ms
162.159.193.69:7152,100.00%,1000 ms
162.159.193.48:7152,100.00%,1000 ms
162.159.193.231:7152,100.00%,1000 ms
188.114.97.232:4198,100.00%,1000 ms
162.159.193.88:7152,100.00%,1000 ms
162.159.193.196:7152,100.00%,1000 ms
162.159.204.255:7152,100.00%,1000 ms
162.159.195.104:4198,100.00%,1000 ms
188.114.98.148:7152,100.00%,1000 ms
188.114.99.123:7152,100.00%,1000 ms
188.114.97.17:7152,100.00%,1000 ms
162.159.195.15:4198,100.00%,1000 ms
188.114.98.179:7152,100.00%,1000 ms
162.159.204.252:4198,100.00%,1000 ms
162.159.204.131:4198,100.00%,1000 ms
188.114.97.211:7152,100.00%,1000 ms
162.159.193.231:4198,100.00%,1000 ms
188.114.96.95:7152,100.00%,1000 ms
188.114.98.18:4198,100.00%,1000 ms
188.114.97.99:7152,100.00%,1000 ms
188.114.97.18:4198,100.00%,1000 ms
162.159.204.7:4198,100.00%,1000 ms
188.114.96.59:4198,100.00%,1000 ms
188.114.97.207:7152,100.00%,1000 ms
188.114.97.17:4198,100.00%,1000 ms
162.159.192.51:4198,100.00%,1000 ms
188.114.98.56:7152,100.00%,1000 ms
188.114.97.241:4198,100.00%,1000 ms
162.159.204.7:7152,100.00%,1000 ms
162.159.195.169:7152,100.00%,1000 ms
162.159.195.64:4198,100.00%,1000 ms
162.159.204.154:4198,100.00%,1000 ms
188.114.99.58:7152,100.00%,1000 ms
188.114.97.127:4198,100.00%,1000 ms
188.114.97.18:7152,100.00%,1000 ms
188.114.99.123:4198,100.00%,1000 ms
162.159.193.11:4198,100.00%,1000 ms
188.114.96.229:7152,100.00%,1000 ms
162.159.195.134:4198,100.00%,1000 ms
188.114.98.94:4198,100.00%,1000 ms
162.159.204.131:7152,100.00%,1000 ms
188.114.98.114:4198,100.00%,1000 ms
188.114.98.134:7152,100.00%,1000 ms
162.159.204.85:7152,100.00%,1000 ms
188.114.98.233:4198,100.00%,1000 ms
188.114.98.148:4198,100.00%,1000 ms
162.159.204.252:7152,100.00%,1000 ms
188.114.98.23:7152,100.00%,1000 ms
188.114.99.112:4198,100.00%,1000 ms
188.114.96.95:4198,100.00%,1000 ms
188.114.99.35:7152,100.00%,1000 ms
188.114.98.72:7152,100.00%,1000 ms
188.114.97.252:4198,100.00%,1000 ms
162.159.192.154:7152,100.00%,1000 ms
162.159.204.89:7152,100.00%,1000 ms
162.159.204.40:7152,100.00%,1000 ms
162.159.193.51:4198,100.00%,1000 ms
188.114.99.178:4198,100.00%,1000 ms
188.114.98.205:7152,100.00%,1000 ms
162.159.192.51:7152,100.00%,1000 ms
188.114.99.3:4198,100.00%,1000 ms
162.159.195.114:7152,100.00%,1000 ms
162.159.192.77:7152,100.00%,1000 ms
162.159.192.77:4198,100.00%,1000 ms
188.114.99.254:4198,100.00%,1000 ms
162.159.195.134:7152,100.00%,1000 ms
188.114.98.205:4198,100.00%,1000 ms
188.114.99.110:7152,100.00%,1000 ms
188.114.99.204:4198,100.00%,1000 ms
162.159.204.174:7152,100.00%,1000 ms
188.114.96.250:7152,100.00%,1000 ms
188.114.99.112:7152,100.00%,1000 ms
188.114.96.163:7152,100.00%,1000 ms
188.114.98.33:7152,100.00%,1000 ms
162.159.193.88:4198,100.00%,1000 ms
188.114.99.58:4198,100.00%,1000 ms
188.114.99.178:7152,100.00%,1000 ms
188.114.96.59:7152,100.00%,1000 ms
